GameNumber,HomeTeam,AwayTeam,GameDate,KO
14,32,33,2023-04-21,20:00
15,24,34,2023-04-21,21:00
17,27,35,2023-04-22,14:30
19,38,26,2023-04-22,16:00
23,40,30,2023-04-22,20:00
21,28,25,2023-04-22,21:00
25,41,31,2023-04-23,15:00
24,42,29,2023-04-23,20:00
28,36,23,2023-04-23,20:30
29,38,34,2023-04-26,20:00
31,40,24,2023-04-27,20:00
34,32,36,2023-04-28,20:00
36,29,30,2023-04-29,14:00
38,41,35,2023-04-29,18:30
37,28,26,2023-04-29,19:00
41,37,31,2023-04-30,14:00
42,25,33,2023-04-30,15:00
44,42,38,2023-04-30,16:00
45,23,34,2023-04-30,17:00
49,30,31,2023-05-02,19:30
52,41,23,2023-05-03,20:30
50,33,26,2023-05-03,20:30
55,24,27,2023-05-05,21:00
57,30,35,2023-05-06,14:00
59,33,29,2023-05-06,17:00
60,28,36,2023-05-06,18:00
58,31,38,2023-05-06,18:00
56,34,37,2023-05-06,20:00
66,25,42,2023-05-07,15:00
68,23,40,2023-05-07,16:00
69,41,32,2023-05-07,19:00
73,40,29,2023-05-10,20:30
75,25,24,2023-05-10,21:00
76,32,42,2023-05-12,20:00
78,35,24,2023-05-12,20:00
87,40,31,2023-05-13,12:00
83,26,30,2023-05-13,17:00
82,33,34,2023-05-13,19:30
81,28,29,2023-05-14,15:30
90,37,41,2023-05-14,16:00
91,23,27,2023-05-14,17:00
93,36,38,2023-05-14,18:00
95,30,41,2023-05-16,19:30
96,23,37,2023-05-17,20:00
98,34,29,2023-05-19,20:45
99,24,38,2023-05-19,21:00
105,27,28,2023-05-21,14:30
106,25,37,2023-05-21,15:00
107,42,40,2023-05-21,20:00
112,41,33,2023-05-21,20:00
113,35,36,2023-05-23,19:00
119,42,23,2023-05-24,20:00
117,32,26,2023-05-24,20:00
116,40,27,2023-05-24,20:00
115,34,25,2023-05-24,20:45
122,30,25,2023-05-27,14:00
123,26,34,2023-05-27,16:00
124,33,37,2023-05-27,19:00
71,38,35,2023-05-28,14:30
130,27,32,2023-05-28,14:30
131,42,41,2023-05-28,18:00
134,23,28,2023-05-28,19:00
137,36,29,2023-05-28,20:30
140,32,35,2023-05-31,20:00
141,31,28,2023-05-31,20:00
143,32,23,2023-06-02,20:00
146,30,36,2023-06-03,14:00
145,28,41,2023-06-03,15:00
150,29,25,2023-06-03,16:00
147,27,33,2023-06-03,16:00
149,40,34,2023-06-03,16:00
151,26,35,2023-06-03,17:00
148,31,42,2023-06-03,19:00
156,37,38,2023-06-04,16:00
100,31,23,2023-06-06,21:00
161,38,41,2023-06-07,20:00
160,35,37,2023-06-07,20:00
163,34,28,2023-06-07,20:45
164,25,40,2023-06-07,21:00
165,24,32,2023-06-07,21:00
162,26,27,2023-06-07,21:00
166,34,30,2023-06-09,20:45
171,29,35,2023-06-10,16:00
172,26,40,2023-06-10,16:30
177,37,32,2023-06-10,17:00
184,36,24,2023-06-10,21:00
179,42,33,2023-06-11,12:00
178,25,41,2023-06-11,15:00
168,28,38,2023-06-11,15:30
183,27,31,2023-06-11,18:30
188,23,29,2023-06-14,20:00
186,33,36,2023-06-14,20:30
192,32,28,2023-06-16,20:00
194,24,30,2023-06-16,21:00
196,33,31,2023-06-17,16:00
197,26,23,2023-06-17,17:30
199,29,41,2023-06-17,19:00
202,25,27,2023-06-18,17:00
206,35,34,2023-06-18,17:30
209,40,37,2023-06-18,19:00
210,36,42,2023-06-18,20:30
211,35,33,2023-06-21,20:00
212,26,24,2023-06-21,20:00
235,38,30,2023-06-21,20:00
213,32,31,2023-06-21,21:00
214,34,41,2023-06-23,20:45
216,30,32,2023-06-24,12:00
217,33,28,2023-06-24,16:00
219,38,29,2023-06-24,18:00
226,25,26,2023-06-25,15:00
225,37,24,2023-06-25,16:00
228,35,23,2023-06-25,17:00
227,42,27,2023-06-25,18:00
232,36,40,2023-06-25,20:30
240,41,36,2023-06-28,19:00
384,31,25,2023-06-28,20:00
385,34,42,2023-06-28,20:45
239,29,27,2023-06-28,21:00
236,28,37,2023-06-29,21:00
252,38,32,2023-06-30,20:00
243,34,31,2023-06-30,20:45
244,24,42,2023-06-30,21:00
247,23,33,2023-07-02,13:00
251,30,28,2023-07-02,14:00
250,25,35,2023-07-02,15:00
249,26,36,2023-07-02,15:00
248,37,27,2023-07-02,16:00
257,41,40,2023-07-02,19:00
260,31,24,2023-07-04,21:00
132,38,40,2023-07-05,20:00
94,42,26,2023-07-05,20:00
265,32,25,2023-07-07,20:00
266,24,28,2023-07-07,21:00
1132,30,33,2023-07-08,14:00
268,40,35,2023-07-08,16:00
276,29,31,2023-07-08,16:00
275,27,36,2023-07-09,14:30
274,37,42,2023-07-09,16:00
278,23,38,2023-07-09,17:00
282,41,26,2023-07-09,19:00
292,37,30,2023-07-12,19:00
289,41,27,2023-07-12,20:00
283,35,31,2023-07-12,20:00
285,26,29,2023-07-12,20:00
286,33,38,2023-07-12,20:30
284,34,32,2023-07-12,20:45
288,25,36,2023-07-12,21:00
290,40,28,2023-07-12,21:00
291,24,23,2023-07-12,21:00
295,30,23,2023-07-15,13:00
300,33,40,2023-07-15,16:00
299,29,32,2023-07-15,16:00
303,38,25,2023-07-15,18:00
298,31,36,2023-07-15,19:00
305,37,26,2023-07-16,13:00
307,35,42,2023-07-16,17:00
309,27,34,2023-07-16,18:30
311,41,24,2023-07-16,19:00
312,27,30,2023-07-19,20:00
313,36,37,2023-07-19,21:00
314,29,24,2023-07-19,21:00
315,28,42,2023-07-20,21:00
316,32,40,2023-07-21,20:00
319,24,33,2023-07-21,21:00
320,30,42,2023-07-22,13:00
321,29,37,2023-07-22,16:00
322,31,26,2023-07-22,16:00
324,38,27,2023-07-22,18:00
325,28,35,2023-07-22,18:00
333,36,34,2023-07-22,20:30
330,23,25,2023-07-23,17:00
